correction_id,correction_version,status,boe_id,entity_type,operation,administrative_action_id,expected_action_type,expected_decision,expected_evidence_sha256,reason_code,reason,decision_source,reviewed_on,reviewer
historical-action-exclusion-v1-16662-dia,1,approved,BOE-A-2024-16662,administrative_action,exclude,BOE-A-2024-16662_event_1_action_2,declaracion_impacto_ambiental,desfavorable,573f1fe53e8d0f556158c0bcf3e2d71b78568d11760affea6fd8e31483e27a25,historical_antecedent_misattributed,Es un antecedente histórico del procedimiento y no un acto adoptado por esta publicación.,human_decisions_consolidated:v1:canonical-140-freeze-candidate-20260813#BOE-A-2024-16662,2026-08-13,human_tfm_review
historical-action-exclusion-v1-16662-public-information,1,approved,BOE-A-2024-16662,administrative_action,exclude,BOE-A-2024-16662_event_1_action_3,informacion_publica,convocado,d392bd28b9373097c8ffdaaea4f70e2bb73fd10ff72bfb7f502ee3dfc8dd242e,historical_antecedent_misattributed,Es un antecedente histórico del procedimiento y no un acto adoptado por esta publicación.,human_decisions_consolidated:v1:canonical-140-freeze-candidate-20260813#BOE-A-2024-16662,2026-08-13,human_tfm_review
historical-action-exclusion-v1-9608-environmental-request,1,approved,BOE-A-2024-9608,administrative_action,exclude,BOE-A-2024-9608_event_1_action_1,solicitud_tramitacion_ambiental,solicitado,d62889e50442699587bedbfb90a69e205c72f2a244015ee1699d95353d6f6dd2,historical_antecedent_misattributed,Es un trámite histórico del expediente y no un acto adoptado por esta publicación.,human_decisions_consolidated:v1:canonical-140-freeze-candidate-20260813#BOE-A-2024-9608,2026-08-13,human_tfm_review
historical-action-exclusion-v1-9608-document-remediation,1,approved,BOE-A-2024-9608,administrative_action,exclude,BOE-A-2024-9608_event_1_action_2,subsanacion_documentacion,subsanado,2d8fb62b830bf60332abf2d0d2ab9ffec973527459c01d3aec2f49dfc276ee6a,historical_antecedent_misattributed,Es un trámite histórico del expediente y no un acto adoptado por esta publicación.,human_decisions_consolidated:v1:canonical-140-freeze-candidate-20260813#BOE-A-2024-9608,2026-08-13,human_tfm_review
historical-action-exclusion-v1-26110-dia,1,approved,BOE-A-2025-26110,administrative_action,exclude,BOE-A-2025-26110_event_1_action_2,declaracion_impacto_ambiental,favorable,8ef4dfbbf01ef91df17661a5da928d610df7791f800dcc28609667c775728b7f,historical_antecedent_misattributed,La DIA procede de una resolución anterior y se cita como antecedente.,human_decisions_consolidated:v1:canonical-140-freeze-candidate-20260813#BOE-A-2025-26110,2026-08-13,human_tfm_review
historical-action-exclusion-v1-17979-dia,1,approved,BOE-A-2023-17979,administrative_action,exclude,BOE-A-2023-17979_event_1_action_2,declaracion_impacto_ambiental,favorable,794be563d3de5159d8220673b0a3b94b75947404221c3baee7e1bfa97d87f4b4,historical_antecedent_misattributed,Es un antecedente histórico del procedimiento y no un acto adoptado por esta publicación.,human_approval:final-w14-admin-action-temporal-audit:2026-08-27,2026-08-27,human_tfm_review
historical-action-exclusion-v1-17939-request,1,approved,BOE-A-2026-17939,administrative_action,exclude,BOE-A-2026-17939_event_1_action_1,solicitud_tramitacion,solicitado,128e62d8ff6105477d6146c7783af4c3025ffdb1c1e61124ab8b95d6fef32e7c,historical_antecedent_misattributed,Es un antecedente histórico del procedimiento y no un acto adoptado por esta publicación.,human_approval:final-w14-admin-action-temporal-audit:2026-08-27,2026-08-27,human_tfm_review
historical-action-exclusion-v1-17939-remediation,1,approved,BOE-A-2026-17939,administrative_action,exclude,BOE-A-2026-17939_event_1_action_2,subsanacion_documentacion,subsanado,2a3610419bea5fd2a445fa8b32c57a2780e00aec22cc3743aeb67dfdb9be15f6,historical_antecedent_misattributed,Es un antecedente histórico del procedimiento y no un acto adoptado por esta publicación.,human_approval:final-w14-admin-action-temporal-audit:2026-08-27,2026-08-27,human_tfm_review
historical-action-exclusion-v1-17939-environmental-request,1,approved,BOE-A-2026-17939,administrative_action,exclude,BOE-A-2026-17939_event_1_action_3,solicitud_tramitacion_ambiental,solicitado,71e760d1403f0c22a45d11b38a15a2221eb74d50b4832153bdc20c4b133573fa,historical_antecedent_misattributed,Es un antecedente histórico del procedimiento y no un acto adoptado por esta publicación.,human_approval:final-w14-admin-action-temporal-audit:2026-08-27,2026-08-27,human_tfm_review
historical-action-exclusion-v1-17939-public-information,1,approved,BOE-A-2026-17939,administrative_action,exclude,BOE-A-2026-17939_event_1_action_4,informacion_publica,sometido_informacion_publica,9b39305621d4b75738ad56cb51b94e5097c2396c66bff6b4547094a22cb7877d,historical_antecedent_misattributed,Es un antecedente histórico del procedimiento y no un acto adoptado por esta publicación.,human_approval:final-w14-admin-action-temporal-audit:2026-08-27,2026-08-27,human_tfm_review
