sample_version,identificador_boe,selection_category,selection_reason,selection_signals,source_corpus_sha256
1,BOE-A-2023-14816,A,Test separation of several similarly named generation plants.,4 PFV; shared evacuation; 2 provinces; DIA,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2023-2574,A,Test separation of several named wind farms with shared infrastructure.,3 wind farms; evacuation; 2 provinces; DIA,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2023-2594,A,Test separation of two named photovoltaic plants.,2 PFV; shared evacuation; DIA,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2023-2595,A,Test extraction from a long document containing several named plants.,4 PFV; evacuation; DIA; long document,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2023-2599,A,Test separation of several wind farms across multiple provinces.,3 wind farms; evacuation; 3 provinces; DIA,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-B-2026-15059,A,Test separation of two plants in a compact multi-location announcement.,2 PFV; evacuation; 4 municipalities; public information; DIA; AAP,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2023-1938,B,Test extraction of a hybrid installation spanning multiple municipalities.,hybrid installation; evacuation; 2 municipalities; environmental assessment,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2023-2589,B,Test extraction of a hybrid project combining solar technologies.,solar thermal; PFV; hybrid; evacuation; DIA,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2025-18283,B,Test extraction of new generation associated with an existing plant.,PFV; wind; hybridisation; evacuation; environmental assessment,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2026-11672,B,Test extraction of battery storage hybridised with existing generation.,BESS; PFV; hybridisation; evacuation; environmental assessment,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-B-2024-17278,B,Test extraction of a compact battery hybridisation announcement.,batteries; hybrid installation; public information; AAP; AAC,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2025-26106,C,Test association between storage and an existing photovoltaic plant.,storage; PFV; hybridisation; evacuation; AAP,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2026-10216,C,Test multiple storage modules associated with several existing plants.,3 storage modules; 3 PSF; hybridisation; evacuation; environmental assessment,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2026-10972,C,Test the boundary presented by a stand-alone storage installation.,stand-alone BESS; evacuation; AAP,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2026-12017,C,Test a second stand-alone storage configuration.,stand-alone storage; evacuation; AAP,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2026-13450,C,Test a project combining generation storage and cogeneration.,PFV; storage; cogeneration; hybridisation; evacuation; environmental assessment,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2024-16667,D,Test extraction of authorised modifications affecting plant configuration.,modification; PFV; evacuation; multiple municipalities; AAP; AAC,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2024-16669,D,Test extraction of modifications combined with several administrative acts.,modification; PFV; evacuation; AAP; AAC; DUP,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2025-26113,D,Test handling of an error correction concerning modified grid infrastructure.,error correction; modification; electrical line; AAP; AAC,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2026-11675,D,Test a withdrawal concerning repowering and hybridisation.,withdrawal; repowering; wind; PFV; storage; hybridisation,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-B-2024-17277,D,Test a project modification with an extensive territorial footprint.,modification; AAP; AAC; many municipalities; 2 provinces,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2023-1931,E,Test extraction of several administrative locations for one plant.,PFV; evacuation; 4 municipalities; DIA,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-A-2023-2580,E,Test locations and assets described at shared-node level.,multiple PFV; evacuation; 2 provinces; DIA,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-B-2024-27102,E,Test locations spanning several municipalities and grid components.,PFV; electrical line; substation; 3 municipalities; DUP,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-B-2025-32954,E,Test locations crossing provincial administrative boundaries.,PFV; evacuation; 3 municipalities; 2 provinces; public information; DIA; AAP,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-B-2026-14921,E,Test a wind project with a highly dispersed territorial footprint.,wind; evacuation; many municipalities; 3 provinces; public information; DIA; AAP,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
1,BOE-B-2023-19081,F,Test several administrative acts covering a plant and its grid connection.,PFV; evacuation; substation; public information; DUP; AAC,17b852ed832ebe53b3e49075590a352ae4affb26da8a7ac9f16977e3bcbde470
